Time since start (ms),Packet loss,,
1001,0,,
1067,,0,
1078,,,0
2015,0,,
2087,,0.063829787,
2124,,,0.122807018
3050,0.01754386,,
3144,,,0.2
3165,,0.154761905,
4104,0.034883721,,
4243,,,0.1875
4331,,0.175925926,
5148,0.047619048,,
5282,,,0.245033113
5467,,0.185714286,
6179,0.08496732,,
6294,,,0.254545455
6505,,0.176470588,
7256,0.129213483,,
7559,,0.155172414,
7570,,,0.240641711
8360,0.18957346,,
8623,,0.148717949,
8682,,,0.229591837
9384,0.188340807,,
9723,,0.134529148,
9962,,,0.205357143
10456,0.175732218,,
10839,,0.137651822,
11082,,,0.195833333
11532,0.166666667,,
12117,,0.135338346,
12211,,,0.19123506
12609,0.16091954,,
13123,,0.133828996,
13504,,,0.185328185
13683,0.151079137,,
14136,,0.126279863,
14638,,,0.176470588
14754,0.14532872,,
15159,,0.11875,
15773,,,0.172535211
15823,0.137254902,,
16187,,0.115853659,
16890,0.132075472,,
17087,,,0.157051282
17217,,0.112094395,
18112,0.12962963,,
18239,,,0.151234568
18396,,0.107648725,
19339,0.121387283,,
19393,,,0.143695015
19421,,0.102425876,
20411,0.114130435,,
20449,,0.096202532,
20537,,,0.143678161
21476,,0.097323601,
21494,0.109090909,,
21698,,,0.140495868
22520,,0.093240093,
22570,0.108312343,,
22865,,,0.137466307
23569,,0.088888889,
23653,0.104622871,,
23866,,,0.132124352
24617,,0.085470085,
24754,0.105386417,,
24867,,,0.124390244
25667,,0.081466395,
25873,,,0.121495327
26013,0.103448276,,
26720,,0.078431373,
26885,,,0.119815668
27280,0.100217865,,
27899,,,0.118451025
28156,,0.075614367,
28557,0.098081023,,
28913,,,0.115044248
29214,,0.074487896,
29687,0.09623431,,
30092,,,0.113785558
30271,,0.072992701,
30811,0.093686354,,
31273,,,0.109704641
31321,,0.070052539,
31920,0.090551181,,
32462,,,0.106995885
32522,,0.07008547,
33036,0.088631985,,
33480,,,0.10483871
33577,,0.069536424,
34146,0.086629002,,
34661,,,0.101761252
34958,,0.068181818,
35415,0.083484574,,
35673,,,0.099047619
36178,,0.067307692,
36686,,,0.097560976
36842,0.080701754,,
37417,,0.065420561,
37705,,,0.095412844
37956,0.079722704,,
38719,,,0.092857143
38789,,0.063636364,
39069,0.078098472,,
39732,,,0.091388401
40015,,0.0625,
40182,0.077310924,,
40746,,,0.090434783
41084,,0.061403509,
41301,0.07641196,,
41757,,,0.088285229
42151,,0.060606061,
42411,0.074313409,,
42777,,,0.084828711
43218,,0.05907173,
43539,0.072440945,,
43792,,,0.083467095
44287,,0.057298772,
44659,0.071097372,,
44976,,,0.082408875
45361,,0.057640751,
45778,0.070254111,,
45993,,,0.080620155
46598,,0.056430446,
47181,,,0.080792683
47235,0.069117647,,
47681,,0.054156171,
48211,,,0.079341317
48364,0.067335244,,
48788,,0.055418719,
49251,,,0.078635015
49491,0.065918654,,
49891,,0.054479419,
50283,,,0.078286558
50616,0.065096953,,
50993,,0.053956835,
51320,,,0.076479076
51743,0.063685637,,
52099,,0.053066038,
52534,,,0.074333801
52881,0.0625,,
53361,,0.052325581,
53565,,,0.073103448
54020,0.061696658,,
54791,,0.051252847,
54931,,,0.07201087
55156,0.060529634,,
55897,,0.049944506,
56127,,,0.070666667
56462,0.058394161,,
57159,,0.049396268,
57324,,,0.069100391
57594,0.058181818,,
58264,,0.048596112,
58525,,,0.068387097
58746,0.058056872,,
59366,,0.048387097,
59559,,,0.066582915
60055,0.057444314,,
60470,,0.047974414,
60582,,,0.065110565
